Transformacion,Elitismo,Mejor_Fitness,Generaciones,Tiempo_seg,Diversidad_Final
Inversion,0,0.233299,100,0.21777,0.055541
Inversion,2,0.164502,100,0.215208,0.025482
Inversion,5,0.191718,100,0.214056,0.012334
Negacion,0,37.530512,100,0.213727,7.19773
Negacion,2,28.413837,100,0.21393,3.726031
Negacion,5,5.299594,100,0.214837,0.620836
Ranking,0,1.5,100,0.213967,0.294508
Ranking,2,1.5,100,0.215173,0.294508
Ranking,5,1.5,100,0.214747,0.294508
